query,rewritten
"what do chromosomes look like in bacteria","What is the structure (appearance, morphology) of bacterial chromosomes (genetic material, DNA)?"
"what are chromosomes kid definition","What is a kid's definition of chromosomes (genetic material, DNA)?"
"who coined the term aerobics and in what year","Who coined the term ""aerobics"" (exercise, physical fitness) and in what year did they introduce (create, invent) it?"
"What is the proposed change to the parental leave payments scheme by the Coalition's small business spokesman, Mr Billson?","What are the proposed amendments (changes, reforms) to the parental leave payment scheme by the Coalition's small business spokesperson, Mr Billson?"
"What is Sean Kane's educational background?","What is Sean Kane's academic history (education, qualifications, credentials)?"
"What is the concern of the Savannah Tree Foundation regarding the new law school's parking lot?","What are the concerns (issues, worries) of the Savannah Tree Foundation regarding the new law school's parking lot development (construction, infrastructure)?"
"name the animal from which we get wool","What is the name of the animal (creature, beast) that provides us with wool (fleece, yarn)?"
"what is keg coupler","What is a keg coupler (tap, valve, connector) and how does it work?"
"What are the functions of the KitchenAid Mixer attachment pack?","What are the features (capabilities, roles) of the KitchenAid Mixer accessory (attachment, add-on) bundle (pack, set)?"
"where is uc santa barbara located","What is the location (address, site) of UC Santa Barbara (University of California, UCSB)?"
"what is mitochondrial disease symptoms","What are the symptoms (signs, indicators) of mitochondrial disease (mitochondrial disorder, mitochondriopathy)?"
"liable definition law","What is the legal definition (interpretation, explanation) of liable (responsible, accountable) in law (legislation, jurisprudence)?"
"what language do people from iceland speak","What language (tongue, dialect) do people from Iceland speak, specifically Icelandic (native, national)?"
"What is the author struggling with?","What challenges (struggles, difficulties) is the writer (author, novelist) facing (experiencing, encountering)?"
"wii fit u vs wii fit plus difference","What are the differences between Wii Fit U and Wii Fit Plus?"
"who sang if you like pina coladas lyrics","Who sang the song with the lyrics ""If you like Pina Coladas"" (performed, artist)?"
"who are the freedom riders and what are they trying to accomplish","Who were the Freedom Riders and what were their goals (objectives, aims) in the Civil Rights Movement?"
"best method to cook a sirloin tip steak","What is the optimal technique (method, approach) to cook a sirloin tip steak, considering factors like tenderness (juiciness) and flavor (taste)?"
"What is the legal status of prostitution in Hamilton, Canada?","What is the legal status (legality, laws) of prostitution (sex work, sex trade) in Hamilton, Ontario, Canada?"
"What is the purpose of the report compiled by the Pakistan Federal Union of Journalists (PFUJ) in 2015?","What is the objective (goal, aim) of the report compiled by the Pakistan Federal Union of Journalists (PFUJ) in 2015 regarding (concerning, about) the state (condition, situation) of journalism (press, media) in Pakistan?"
"are mcdonald's chicken nuggets made with real chicken","Are McDonald's chicken nuggets composed of authentic (genuine, natural) chicken meat (poultry, fowl)?"
"when is peter pan introduced in once upon a time","In what season (episode) is Peter Pan's character introduced in the TV show ""Once Upon a Time""?"
"what are rare eye colors","What are the rarest (uncommon, unusual) eye colors (iris shades, ocular hues)?"
"what is the concept of no child left behind","What is the concept of No Child Left Behind (educational policy, NCLB), and how does it impact (influence, affect) student learning (education, academic achievement)?"
"when do we vote for mid term elections","When do the midterm elections (congressional elections, polls) take place in the United States (US, America)?"
"why are there robot animals in horizon zero dawn","What are the reasons (purposes, explanations) behind the existence of robotic (mechanical, artificial) animals in Horizon Zero Dawn?"
"Who visited the ravaged homes in East Haven after Tropical Storm Irene and promised federal help to cover some of the costs?","Who visited the devastated (ravaged, damaged) homes in East Haven after Tropical Storm Irene and promised federal assistance (aid, support) to cover some of the expenses (costs, expenditures)?"
"Who was the host of the syndicated radio program ""On the Radio"" from 1985 until 1992?","What was the name of the presenter (host, anchor) of the syndicated radio show ""On the Radio"" from 1985 to 1992?"
"autoimmune diseases that affect the lungs","What autoimmune disorders (conditions, illnesses) affect the lungs (respiratory system, pulmonary organs)?"
